Variable_Name,Name_Length,Code_Display,Code length,Code_Query,Variable_Order,Variable_Key,Description,Unit_or_type,Data_type,Data_length,Dataset,Subset,Group,SubGroup,Set_group_order,Hash_calc,Version_or_questions,Display_Label,Code_synon,DSSAT_group,DSSAT_order,MinVal,MaxVal,DSSAT_var,ICASA_standard,AgMIP_data_entry,AgMIP_rating,DSSAT_rating,APSIM_rating,CYCLES,,,,,,,,,,
experiment_ID,13,EID,3,EID,1,1,Experiment identifier,text,single,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,-2,-1,,,,,,,,,,,,,
name_of_experiment,18,EXNAME,6,EXNAME,2,,Name of experiment,text,text,31,EXPERIMENT,METADATA,GENERAL,,1011,1,,,,,,1,,,1,,2,2,,,,,,,,,,,,
exp_code_local,14,LOCAL_ID,8,LOCAL_ID,3,,Locally used ID for experiment,text,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experiment_name_local,21,LOCAL_NAME,10,LOCAL_NAME,4,,Locally used name for experiment,text,text,31,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,,0,,,,,,,,,,,,,
objectives_of_study,19,OBJECTIVES,10,OBJECTIVES,5,,Objectives of the study,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,,0,,,,,,,,,,,,,
experiment_narrative,20,EXP_NARR,,EXP_NARR,,,"General description of experiment. Can include noteworthy events, findings, etc.",text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2017-09-14, JWW",,,,,,,,2,,0,,,,,,,,,,,,,
main_experiment_factor,22,MAIN_FACTOR,11,MAIN_FACTOR,6,,"Main factor, factors or interactions of interest in an experiment",text,text,255,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experimental_factor_comb,24,FACTORS,7,FACTORS,7,,Experimental factor combinations,text,text,255,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,,0,,,,,,,,,,,,,
number_of_replicates,20,REP_NO,10,REP_NO,8,,Number of blocks or replicates,number,,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
number_of_treatments,20,TRT_COUNT,10,TRT_COUNT,8,,Number of treatments,number,,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2023-03-22, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
method_notes,12,METHODS,7,METHODS,8,,General notes on execution of experiment.,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-2,0,,,,,,,,,,,,,
experiment_type,15,EXPER_TYPE,10,EXPER_TYPE,9,,"General type of experiment, e.g., varietal trial",code,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experimental_design,,EXPER_DESIGN,,EXPER_DESIGN,,,Experimental design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_name,9,SITE_NAME,10,SITE_NAME,9,,Name of site for experiment,text,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
site_type,9,SITE_TYPE,9,SITE_TYPE,10,,"Type of site, e.g., station, on-farm",code,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
management_type,15,MGMT_TYPE,9,MGMT_TYPE,11,,"Whether managed by researchers, producers",code,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experiment_year,15,EXP_YEAR,7,EXP_YEAR,12,,Year associated with experiment or crop rotation,date[yyyy],single,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2020-06-09, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
experiment_duration,19,EXP_DUR,7,EXP_DUR,12,,Duration of experiment in years,year,single,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
exper_duration_seasons,22,EXP_DUR_SEAS,7,EXP_DUR_SEAS,12,,Duration of experiment in seasons,number,single,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2020-12-03, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
anonymization,,ANONYMIZ,,ANONYMIZ,,,"Indication of whether location should be anonymized (N= anonymize names, L = anonymize locations, NL or LN  = anonymize both names and location)",text,text,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2023-03-06, CHP",,,,,,,,,,,,,,,,,,,,,,,
rotation,8,ROTATION,9,ROTATION,13,,"Crop rotation indicator (=1 for continuous, multi-year simulation, =0 for single year simulations with multiple initializations)",code,text,1,EXPERIMENT,METADATA,GENERAL,,1011,1,,,,,,,,,1,,0,,,,,,,,,,,,,
cropping_system,15,CR_SYSTEM,9,CR_SYSTEM,13,,Cropping system descriptive name,text,text,60,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,,0,,,,,,,,,,,,,
ex_license,10,ex_license,10,ex_license,21,,Data license name and url,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2015-11-24, CHP",.,.,,,,,,1,-1,0,,,,,,,,,,,,,
distrib_restrictions,20,EX_DISTRIB,10,EX_DISTRIB,21,,Distribution limitations for the data set,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2013-02-14, CHP",.,.,,,,,,1,-1,0,,,,,,,,,,,,,
ex_funding_source,17,ex_funding_source,17,ex_funding_source,21,,Funding source(s) for this data set,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,"2015-11-24, CHP",.,.,,,,,,1,-1,0,,,,,,,,,,,,,
file_version,12,VERSION,7,VERSION,31,,File version for ICASA standard,text,text,78,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
revision_date_first,19,REV_DATE_FIRST,14,REV_DATE_FIRST,32,,Date the file was first created,date,,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
revision_date_latest,20,REV_DATE_LATEST,15,REV_DATE_LATEST,33,,Date the file was last revised,date,,,EXPERIMENT,METADATA,GENERAL,,1011,0,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
revision_notes,14,REVISION_NOTES,14,REVISION_NOTES,34,,Notes describing reasons for the revision,text,memo,,EXPERIMENT,METADATA,GENERAL,,1011,0,,,,,,,,,1,-1,0,,,,,,,,,,,,,
AgMIP_date_rated,16,AGMIP_DATE,10,AGMIP_DATE,1,,Date of AgMIP rating,date,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
AgMIP_rater,11,AGMIP_RATER,11,AGMIP_RATER,2,,Initials of person assigning AgMIP rating,text,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
AgMIP_rating,12,AGMIP_RATING,12,AGMIP_RATING,3,,"AgMIP sentinel site rating (gold, silver, etc.)",code,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
data_source,11,DATA_SOURCE,11,DATA_SOURCE,4,,"Original format of  data (DSSAT, APSIM, CIMMYT, field log, etc)",code,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-1,0,,,,,,,,,,,,,
last_update,11,LAST_UPDATE,11,LAST_UPDATE,5,,Date of last upload of information to experimental data,date,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
crop_model_version,18,MODEL_VER,9,MODEL_VER,6,,Crop model version related to data upload,text,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-1,0,,,,,,,,,,,,,
AgMIP_rating_mgmt,17,RATING_MGMT,11,RATING_MGMT,7,,AgMIP sentinel site rating for management data,number,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
AgMIP_rating_observations,25,RATING_OBS,10,RATING_OBS,8,,AgMIP sentinel site rating for observed data,number,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
AgMIP_rating_soils,18,RATING_SOIL,11,RATING_SOIL,9,,AgMIP sentinel site rating for soil data,number,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
AgMIP_rating_weather,20,RATING_WTH,10,RATING_WTH,10,,AgMIP sentinel site rating for weather data,number,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
user_id,7,USER_ID,7,USER_ID,11,,id of user who uploaded data (typically email address),text,,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,2,-2,0,,,,,,,,,,,,,
experiment_citation,19,ex_citation,11,ex_citation,1,,Full citation for experimental data,text,text,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,3,,0,,,,,,,,,,,,,
experiment_license,18,ex_license,10,ex_license,1,,License associated with experiment,text,text,,EXPERIMENT,METADATA,GENERAL,AGMIP,1012,0,,,,,,,,,3,,0,,,,,,,,,,,,,
people_level,12,PP,2,PP,1,1,id,,,,EXPERIMENT,METADATA,PERSONS,,1031,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
researcher_last_name,20,LAST_NAME,9,LAST_NAME,2,,Last name of researchers involved with the experiment(s) or data,text,text,31,EXPERIMENT,METADATA,PERSONS,,1031,0,,.,.,,,,,,1,-2,0,,,,,,,,,,,,,
researcher_first_name,21,FIRST_NAME,10,FIRST_NAME,3,,First name of researchers involved with the experiment(s) or data,text,text,31,EXPERIMENT,METADATA,PERSONS,,1031,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
researcher_name_mi,18,MID_INITIAL,13,MID_INITIAL,4,,Middle initial of researchers involved with the experiment(s) or data,text,text,10,EXPERIMENT,METADATA,PERSONS,,1031,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
researcher_role,15,PP_ROLE,13,PP_ROLE,4,,Role of researcher or other person in experiment or dataset preparation,code,text,5,EXPERIMENT,METADATA,PERSONS,,1031,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
researcher_address,18,EX_ADDRESS,13,EX_ADDRESS,4,,Mailing address of researcher,,,,EXPERIMENT,METADATA,PERSONS,,1031,0,"2014-03-14, chp",,,,,,,,,,,,,,,,,,,,,,,
institute_ID,12,IN,2,INP,6,,Links to institution associated w person,,single,,EXPERIMENT,METADATA,PERSONS,,1031,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
persons_notes,13,PERSON_NOTES,6,PERSON_NOTES,7,,Additional notes on persons involved with the experiment(s),text,memo,255,EXPERIMENT,METADATA,PERSONS,,1031,0,,,,,,,,,1,,1,1,,,,,,,,,,,,
e_mail_address,14,EX_EMAIL,6,EX_EMAIL,7,,E-mail address of researcher,text,text,255,EXPERIMENT,METADATA,PERSONS,,1031,0,,,,,,,,,1,,0,,,,,,,,,,,,,
institute_ID,12,IN,2,IN,1,1,id,,single,,EXPERIMENT,METADATA,INSTITUTIONS,,1041,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
institute_name,14,INSTITUTION,11,INSTITUTION,2,,Names of participating institutions,text,text,60,EXPERIMENT,METADATA,INSTITUTIONS,,1041,0,,,,,,,,,1,,1,1,,,,,,,,,,,,
institute_type,14,IN_TYPE,7,IN_TYPE,3,,Type of participating institutions,code,single,,EXPERIMENT,METADATA,INSTITUTIONS,,1041,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
institute_role,14,IN_ROLE,7,IN_ROLE,4,,Role of participating institutions,code,single,,EXPERIMENT,METADATA,INSTITUTIONS,,1041,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
institute_notes,,IN_NOTES,,IN_NOTES,10,,Additional notes on institutions associated with the experiment(s),text,text,255,EXPERIMENT,METADATA,INSTITUTIONS,,1041,0,,,,,,,,,,,,,,,,,,,,,,,,
document_ID,11,DOC_ID,2,DOC_ID,1,1,id,,single,,EXPERIMENT,METADATA,DOCUMENTS,,1051,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
document_name,13,DOCUMENT,8,DOCUMENT,2,,Document name in abbreviated form,text,memo,255,EXPERIMENT,METADATA,DOCUMENTS,,1051,0,,,,,,,,,1,,0,,,,,,,,,,,,,
document_type,,DOC_TYPE,,DOC_TYPE,,,"Description of type of document (e.g., photo, graphic, memo, etc.",text,text,255,EXPERIMENT,METADATA,DOCUMENTS,,1051,0,,,,,,,,,,,,,,,,,,,,,,,,
document_date,,DOC_DATE,,DOC_DATE,,,"Description of type of document (e.g., photo, graphic, memo, etc.",text,text,255,EXPERIMENT,METADATA,DOCUMENTS,,1051,0,"2017-09-14, JWW",,,,,,,,,,,,,,,,,,,,,,,
document_link,,DOC_LINK,,DOC_LINK,,,URL for location of digital document,text,text,255,EXPERIMENT,METADATA,DOCUMENTS,,1051,0,,,,,,,,,,,,,,,,,,,,,,,,
digital_object_identifier,25,DIGITAL_OBJ_ID,8,DIGITAL_OBJ_ID,3,,Digital_object_identifier according to international standard (DOI),text,memo,255,EXPERIMENT,METADATA,DOCUMENTS,,1051,0,,,,,,,,,1,,0,,,,,,,,,,,,,
experiment_ID,13,EX_ID,5,EX_ID,0,1,id,number,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,0,,,,,,,,,1,-2,0,,,,,,,,,,,,,
plot_id,7,PLTID,5,PLTID,2,,Plot identification,text,text,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,"2020-06-09, CHP",.,.,,,0,,,1,-1,0,,,,,,,,,,,,,
plot_area,9,PLTA,4,PLTA,2,,Plot area (gross) per rep,m2,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,PAREA,GENERAL,"1,121",0,,,1,-1,0,,,,,,,,,,,,,
plot_row_number,15,PLTR#,5,PLTRno,3,,Plot row number for single plot or treatment,number,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,PRNO,GENERAL,"1,122",,,,1,-1,0,,,,,,,,,,,,,
plot_length,11,PLTLN,5,PLTLN,4,,Plot length (gross) for single plot or treatment,m,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,PLEN,GENERAL,"1,123",,,,1,-1,0,,,,,,,,,,,,,
plot_width,10,PLTWI,5,PLTWI,5,,Plot width (gross) for single plot or treatment,m,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
plot_orientation,16,PLTOR,5,PLTOR,6,,Plot orientation (from North),arc_degrees,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,PLOR,GENERAL,"1,125",0,359,,1,-1,0,,,,,,,,,,,,,
drainage_orientation,20,PLTOD,5,PLTOD,7,,Drainage orientation (from North),arc_degrees,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,,PLFR,GENERAL,"1,126",,,,1,-1,0,,,,,,,,,,,,,
plots_relative_to_drains,24,PLDR,4,PLDR,8,,Plots relative to drains,arc_degrees,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,.,,,0,179,,1,-1,0,,,,,,,,,,,,,
plot_separation,15,PLTSP,5,PLTSP,9,,"Spacing between individual plots, if any",cm,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,PLSP,GENERAL,"1,127",0,,,1,-1,0,,,,,,,,,,,,,
plot_harvest_area,17,PLTHA,5,PLTHA,21,,Plot harvest area,m2,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,HAREA,GENERAL,"1,128",0,,,1,-1,0,,,,,,,,,,,,,
plot_harvest_row_number,23,PLTH#,5,PLTHno,22,,Plot harvest row number,number,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,HRNO,GENERAL,"1,129",,,,1,-1,0,,,,,,,,,,,,,
plot_harvest_length,19,PLTHL,5,PLTHL,23,,Plot harvest length,m,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,HLEN,GENERAL,"1,130",,,,1,-1,0,,,,,,,,,,,,,
plot_harvest_width,18,PLTHW,5,PLTHW,24,,Plot harvest width,m,single,,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
harvest_method_plot,19,PLTHM,5,PLTHM,25,,"Plot harvest method (eg.Hand, combine)",code,text,31,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,1,,.,HARM,GENERAL,"1,132",,,,1,-1,0,,,,,,,,,,,,,
plot_layout,,PLLAY,,PLLAY,26,,"Plot layout or experimental design (e.g., ""RCBD with four blocks"")",text,memo,255,EXPERIMENT,METADATA,PLOT_DETAILS,,1071,0,,.,.,,,,,,1,-1,0,,,,,,,,,,,,,
constraints,11,CNSTR,5,CNSTR,1,,Constraints known to affect crop performance,text,text,,EXPERIMENT,METADATA,NOTES,,1081,0,,,,,,,,,1,-1,0,,,,,,,,,,,,,
complications,13,CMPLC,5,CMPLC,2,,Complications arising during experiment,text,text,,EXPERIMENT,METADATA,NOTES,,1081,0,,,,,,,,,1,-1,0,,,,,,,,,,,,,
suite_id,8,SUITEID,7,SUITEID,1,,Suite identifiers,text,text,,SUITE,METADATA,GENERAL,,8011,0,"2013-02-04, JWW",,,,,,,,0,-1,0,,,,,,,,,,,,,
suite_name,10,SUITE_NAME,10,SUITE_NAME,1,,Brief name of suite of experiments,text,text,,SUITE,METADATA,GENERAL,,8011,0,"2015-11-24, CHP",,,,,,,,0,-1,0,,,,,,,,,,,,,
suite_objectives_of_study,25,SUITE_OBJ,9,SUITE_OBJ,5,,Objectives of the study,text,memo,,SUITE,METADATA,GENERAL,,8011,0,"2014-04-07, CHP",.,.,,,,,,1,,0,,,,,,,,,,,,,
suite_main_experiment_factor,28,SUITE_MAIN_FAC,14,SUITE_MAIN_FAC,6,,"Main factor, factors or interactions of interest in an experiment",text,text,255,SUITE,METADATA,GENERAL,,8011,0,"2014-04-07, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
suite_experimental_factor_comb,30,SUITE_FACTORS,13,SUITE_FACTORS,7,,Experimental factor combinations,text,text,255,SUITE,METADATA,GENERAL,,8011,0,"2014-04-07, CHP",.,.,,,,,,1,,0,,,,,,,,,,,,,
suite_experiment_type,21,SUITE_EXPER_TYPE,10,SUITE_EXPER_TYPE,9,,"General type of experiment, e.g., varietal trial",code,text,,SUITE,METADATA,GENERAL,,8011,0,"2014-04-07, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
suite_distrib_restrictions,26,SUITE_DISTRIB,13,SUITE_DISTRIB,21,,Distribution limitations for the data set,text,memo,,SUITE,METADATA,GENERAL,,8011,0,"2013-02-14, CHP",.,.,,,,,,1,-1,0,,,,,,,,,,,,,
suite_keywords,14,suite_keywords,8,suite_keywords,3,,Keywords for dataset,text,memo,255,SUITE,METADATA,GENERAL,,8051,0,"2015-11-24, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
suite_data_source,17,SUITE_DATA_SOURCE,17,SUITE_DATA_SOURCE,4,,"Original format of  data (DSSAT, APSIM, CIMMYT, field log, etc)",code,,,SUITE,METADATA,GENERAL,,8012,0,"2014-04-07, CHP",,,,,,,,2,-1,0,,,,,,,,,,,,,
suite_citation,14,suite_citation,14,suite_citation,1,,Full citation for experimental data,text,text,,SUITE,METADATA,GENERAL,,8012,0,"2014-04-07, CHP",,,,,,,,3,,0,,,,,,,,,,,,,
suite_license,13,suite_license,13,suite_license,1,,License associated with experiment,text,text,,SUITE,METADATA,GENERAL,,8012,0,"2014-04-07, CHP",,,,,,,,3,,0,,,,,,,,,,,,,
suite_notes,11,SUITE_NOTES,8,SUITE_NOTES,3,,Notes about data set,text,memo,255,SUITE,METADATA,GENERAL,,8051,0,"2016-03-04, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
suite_researcher_address,24,SUITE_ADDRESS,13,SUITE_ADDRESS,4,,Mailing address of researcher,text,memo,255,SUITE,METADATA,PERSONS,,8031,0,"2014-03-14, chp",,,,,,,,,,,,,,,,,,,,,,,
suite_persons_notes,19,SUITE_PERSON_NOTES,6,SUITE_PERSON_NOTES,7,,Additional notes on persons involved with the experiment(s),text,memo,255,SUITE,METADATA,PERSONS,,8031,0,"2014-04-07, CHP",,,,,,,,1,,1,1,,,,,,,,,,,,
suite_email_address,19,SUITE_EMAIL,6,SUITE_EMAIL,7,,E-mail address of researcher,text,text,255,SUITE,METADATA,PERSONS,,8031,0,"2014-04-07, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
suite_orcid,11,suite_orcid,6,suite_orcid,7,,ORCId of researcher(s),text,text,255,SUITE,METADATA,PERSONS,,8031,0,"2015-11-24, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
suite_institute_name,20,SUITE_INSTITUTION,17,SUITE_INSTITUTION,2,,Names of participating institutions,text,text,60,SUITE,METADATA,INSTITUTIONS,,8041,0,"2014-04-07, CHP",,,,,,,,1,,1,1,,,,,,,,,,,,
suite_document_name,19,SUITE_DOCUMENT,8,SUITE_DOCUMENT,2,,Document name in abbreviated form,text,memo,255,SUITE,METADATA,DOCUMENTS,,8051,0,"2014-04-07, CHP",,,,,,,,1,,0,,,,,,,,,,,,,
suite_digital_object_identifier,31,SUITE_DOI,8,SUITE_DOI,3,,Digital_object_identifier according to international standard,text,memo,255,SUITE,METADATA,DOCUMENTS,,8051,0,"2014-04-07, CHP",,,,,,,,1,,0,,,,,,,,,,,,,